,image_name,bin_encode
0,apartment-256.png,[0 0 0 0 0 0 0]
1,archeology-256.png,[0 0 0 0 0 0 1]
2,barcode_scanner-256.png,[0 0 0 0 0 1 0]
3,barn-256.png,[0 0 0 0 0 1 1]
4,bed-256.png,[0 0 0 0 1 0 0]
5,bridge-256.png,[0 0 0 0 1 0 1]
6,bug-256.png,[0 0 0 0 1 1 0]
7,bureau-256.png,[0 0 0 0 1 1 1]
8,burn_cd-256.png,[0 0 0 1 0 0 0]
9,button-256.png,[0 0 0 1 0 0 1]
10,buy-256.png,[0 0 0 1 0 1 0]
11,car_theft-256.png,[0 0 0 1 0 1 1]
12,carousel-256.png,[0 0 0 1 1 0 0]
13,cash_register-256.png,[0 0 0 1 1 0 1]
14,cathedral-256.png,[0 0 0 1 1 1 0]
15,chainsaw-256.png,[0 0 0 1 1 1 1]
16,circuit-256.png,[0 0 1 0 0 0 0]
17,coffee_maker-256.png,[0 0 1 0 0 0 1]
18,confectionery-256.png,[0 0 1 0 0 1 0]
19,controller-256.png,[0 0 1 0 0 1 1]
20,cooker-256.png,[0 0 1 0 1 0 0]
21,cottage-256.png,[0 0 1 0 1 0 1]
22,cotton_candy-256.png,[0 0 1 0 1 1 0]
23,cut-256.png,[0 0 1 0 1 1 1]
24,dashboard-256.png,[0 0 1 1 0 0 0]
25,delivery-256.png,[0 0 1 1 0 0 1]
26,device_manager-256.png,[0 0 1 1 0 1 0]
27,discount-256.png,[0 0 1 1 0 1 1]
28,drafting_compass-256.png,[0 0 1 1 1 0 0]
29,drill-256.png,[0 0 1 1 1 0 1]
30,ethernet_off-256.png,[0 0 1 1 1 1 0]
31,factory-256.png,[0 0 1 1 1 1 1]
32,fan-256.png,[0 1 0 0 0 0 0]
33,fraud-256.png,[0 1 0 0 0 0 1]
34,garage-256.png,[0 1 0 0 0 1 0]
35,gas_mask-256.png,[0 1 0 0 0 1 1]
36,gas_station-256.png,[0 1 0 0 1 0 0]
37,gift-256.png,[0 1 0 0 1 0 1]
38,greentech-256.png,[0 1 0 0 1 1 0]
39,hacking-256.png,[0 1 0 0 1 1 1]
40,hammer-256.png,[0 1 0 1 0 0 0]
41,handcuffs-256.png,[0 1 0 1 0 0 1]
42,handshake-256.png,[0 1 0 1 0 1 0]
43,hdmi-256.png,[0 1 0 1 0 1 1]
44,hdtv-256.png,[0 1 0 1 1 0 0]
45,home_decorations-256.png,[0 1 0 1 1 0 1]
46,hospital-256.png,[0 1 0 1 1 1 0]
47,housekeeper_female-256.png,[0 1 0 1 1 1 1]
48,iron-256.png,[0 1 1 0 0 0 0]
49,jacuzzi-256.png,[0 1 1 0 0 0 1]
50,jewelry-256.png,[0 1 1 0 0 1 0]
51,keep_dry-256.png,[0 1 1 0 0 1 1]
52,keyboard-256.png,[0 1 1 0 1 0 0]
53,kitchenwares-256.png,[0 1 1 0 1 0 1]
54,lights-256.png,[0 1 1 0 1 1 0]
55,memory_slot-256.png,[0 1 1 0 1 1 1]
56,mixer-256.png,[0 1 1 1 0 0 0]
57,motion_detector-256.png,[0 1 1 1 0 0 1]
58,move_by_trolley-256.png,[0 1 1 1 0 1 0]
59,notebook-256.png,[0 1 1 1 0 1 1]
60,oil_indaustry-256.png,[0 1 1 1 1 0 0]
61,open_in_browser-256.png,[0 1 1 1 1 0 1]
62,paint_palette-256.png,[0 1 1 1 1 1 0]
63,phone_office-256.png,[0 1 1 1 1 1 1]
64,pin-256.png,[1 0 0 0 0 0 0]
65,pin_cushion-256.png,[1 0 0 0 0 0 1]
66,plumbing-256.png,[1 0 0 0 0 1 0]
67,plush-256.png,[1 0 0 0 0 1 1]
68,poison-256.png,[1 0 0 0 1 0 0]
69,pos_terminal-256.png,[1 0 0 0 1 0 1]
70,price_tag_euro-256.png,[1 0 0 0 1 1 0]
71,price_tag_usd-256.png,[1 0 0 0 1 1 1]
72,product-256.png,[1 0 0 1 0 0 0]
73,qr_code-256.png,[1 0 0 1 0 0 1]
74,radar-256.png,[1 0 0 1 0 1 0]
75,research-256.png,[1 0 0 1 0 1 1]
76,return_purchase-256.png,[1 0 0 1 1 0 0]
77,robot-256.png,[1 0 0 1 1 0 1]
78,save-256.png,[1 0 0 1 1 1 0]
79,scanner-256.png,[1 0 0 1 1 1 1]
80,sd-256.png,[1 0 1 0 0 0 0]
81,sell-256.png,[1 0 1 0 0 0 1]
82,shampoo_dispenser-256.png,[1 0 1 0 0 1 0]
83,shoppig_bag-256.png,[1 0 1 0 0 1 1]
84,shopping_basket-256.png,[1 0 1 0 1 0 0]
85,shopping_cart-256.png,[1 0 1 0 1 0 1]
86,shopping_cart_loaded-256.png,[1 0 1 0 1 1 0]
87,shower_and_tub-256.png,[1 0 1 0 1 1 1]
88,software_box-256.png,[1 0 1 1 0 0 0]
89,solar_panel-256.png,[1 0 1 1 0 0 1]
90,souvenirs-256.png,[1 0 1 1 0 1 0]
91,stationery-256.png,[1 0 1 1 0 1 1]
92,tape_drive-256.png,[1 0 1 1 1 0 0]
93,toolbox-256.png,[1 0 1 1 1 0 1]
94,towel-256.png,[1 0 1 1 1 1 0]
95,transportation-256.png,[1 0 1 1 1 1 1]
96,usb_on-256.png,[1 1 0 0 0 0 0]
97,vacuum_cleaner-256.png,[1 1 0 0 0 0 1]
98,wind_turbine-256.png,[1 1 0 0 0 1 0]
99,workstation-256.png,[1 1 0 0 0 1 1]
